latitude longitude
14.479 -79.135
12.263 -68.168
17.763 -75.662
17.706 -75.648
17.722 -75.634
11.335 -74.224
11.953 -70.28
13.327 -70.23
17.711 -75.629
17.383 -75.335
11.086 -74.468
11.081 -74.443
17.034 -69.089
13.307 -71.523
12.202 -68.333
12.148 -68.265
13.229 -68.241
16.447 -67.51
18.6 -64.14
18.606 -64.087
14.802 -77.543
16.099 -80.377
13.927 -73.038
17.516 -75.85
16.285 -80.036
17.872 -74.981
17.71 -75.637
16.154 -74.137
16.154 -74.137
13.124 -70.201
11.205 -74.545
13.736 -71.057
13.221 -70.653
11.06 -74.453
13.497 -72.417
13.346 -69.833
20.079 -68.779
12.155 -68.317
12.168 -68.316
12.146 -68.228
12.161 -68.291
12.161 -68.291
15.519 -67.431
11.764 -66.828
18.613 -64.133
11.832 -66.708
14.007 -66.161
18.587 -64.16
16.089 -80.95
16.12 -80.484
17.897 -70.452
17.854 -75.642
16.058 -80.589
17.697 -75.707
16.339 -80.037
18.221 -75.189
18.221 -75.189
14.541 -74.895
14.847 -77.871
17.727 -75.637
17.704 -75.511
13.472 -70.607
11.984 -70.35
12.641 -70.346
11.058 -74.468
11.053 -74.451
15.03 -78.551
15.347 -79.26
17.78 -75.622
17.732 -75.567
17.131 -70.82
11.752 -73.137
13.685 -68.962
13.685 -68.962
13.211 -68.27
12.18 -68.247
11.827 -66.752
18.58 -64.181
16.085 -80.438
15.971 -80.03
15.734 -67.514
16.215 -81.217
17.735 -75.66
17.733 -75.648
17.705 -75.646
17.833 -75.113
17.906 -75.049
17.702 -75.543
12.482 -68.97
11.757 -73.059
19.235 -68.913
12.23 -68.404
18.624 -64.126
11.702 -66.782
18.586 -64.319
13.336 -71.881
17.769 -75.645
17.703 -75.642
17.686 -75.811
17.722 -75.742
17.644 -75.669
16.562 -80.177
14.887 -75.158
14.82 -77.899
11.265 -74.68
11.093 -74.424
11.08 -74.388
15.836 -73.937
12.315 -70.058
16.297 -69.449
12.038 -68.764
12.15 -68.328
11.682 -67.124
15.989 -79.932
14.565 -74.444
16.08 -80.485
17.012 -69.884
15.567 -76.628
15.478 -80.994
17.653 -76.082
17.752 -75.704
17.708 -75.677
15.517 -79.825
15.894 -79.707
16.319 -74.191
16.14 -74.121
16.14 -74.121
14.784 -74.061
12.248 -69.586
16.115 -69.371
17.154 -68.575
12.182 -68.288
12.162 -68.334
12.17 -68.329
12.158 -68.327
12.167 -68.304
17.584 -66.996
13.575 -65.79
18.523 -64.365
18.552 -64.213
18.715 -63.881
16.078 -80.471
16 -79.954
15.465 -76.065
16.126 -80.406
13.88 -73.05
17.716 -75.654
14.325 -76.523
14.616 -76.646
17.745 -75.634
11.954 -70.285
17.847 -75.338
11.139 -74.453
11.087 -74.438
11.094 -74.434
13.809 -67.495
18.633 -64.198
18.544 -64.185
17.637 -75.829
16.013 -79.878
12.178 -68.295
13.508 -72.19
17.716 -75.647
17.684 -75.676
14.764 -79.024
15.015 -78.379
14.833 -77.961
17.717 -75.622
17.7 -75.574
14.805 -71.149
17.822 -71.115
17.402 -70.405
11.088 -74.494
11.1 -74.462
12.052 -68.997
15.763 -73.797
12.3 -72.269
12.257 -72.203
14.778 -69.554
20.14 -68.873
12.203 -68.266
20.112 -68.891
13.957 -64.982
18.657 -64.286
15.983 -79.919
17.743 -75.652
17.725 -75.644
17.728 -75.841
17.703 -75.593
17.661 -75.569
17.469 -70.887
13.708 -74.422
12.07 -68.889
12.158 -68.249
11.395 -67.846
10.955 -67.377
13.307 -65.757
15.371 -77.334
17.741 -75.665
17.691 -75.643
17.822 -76.105
17.692 -76.03
16.116 -80.408
14.793 -80.04
16.004 -80.065
14.156 -70.619
12.171 -68.289
12.17 -68.308
12.122 -68.28
12.22 -68.061
13.969 -67.998
18.602 -64.136
15.419 -81.019
14.835 -73.714
14.291 -73.6
15.41 -80.937
11.25 -74.995
17.698 -75.631
17.311 -70.306
17.709 -75.626
17.72 -75.611
17.682 -75.609
17.694 -75.502
11.071 -74.519
11.083 -74.449
14.785 -74.07
14.702 -69.43
12.166 -68.323
16.766 -67.55
10.961 -67.379
11.818 -66.771
12.311 -68.727
17.704 -75.673
17.735 -75.671
14.755 -77.197
11.966 -70.284
17.735 -75.611
18.396 -74.586
14.879 -73.249
12.421 -69.441
13.324 -68.816
13.324 -68.816
13.324 -68.816
13.004 -68.271
12.162 -68.131
10.996 -65.896
12.974 -65.647
11.844 -66.753
18.553 -64.005
16.088 -80.498
16.1 -80.472
14.856 -73.801
16.083 -80.487
12.169 -68.308
11.114 -74.388
16.067 -80.453
16.55 -81.501
17.781 -75.655
17.706 -75.65
17.704 -75.644
17.494 -75.761
17.705 -75.695
16.572 -80.106
18.137 -75.205
18.137 -75.205
16.049 -79.451
14.876 -77.967
17.724 -75.634
11.228 -74.268
16.934 -70.258
16.428 -70.634
11.023 -74.362
11.061 -74.314
20.128 -69.016
12.15 -68.359
12.136 -68.345
12.174 -68.294
13.694 -68.104
15.861 -67.556
11.19 -65.679
11.862 -66.701
19.026 -66.336
13.987 -66.005
14.167 -75.764
12.166 -68.299
15.989 -79.926
12.221 -68.09
17.702 -75.641
15.563 -79.132
17.731 -75.627
17.739 -75.583
11.07 -74.508
13.1 -69.86
13.059 -69.261
12.315 -69.169
15.691 -69.114
15.691 -69.114
15.691 -69.114
13.451 -68.656
12.189 -68.344
12.145 -68.303
12.987 -68.252
15.364 -67.518
15.748 -67.419
13.499 -65.677
13.409 -65.029
12.542 -69.842
17.684 -75.653
17.706 -75.65
17.737 -75.543
13.497 -73.345
13.793 -73.274
17.22 -70.143
12.17 -69.407
13.508 -68.685
12.225 -68.402
12.166 -68.322
10.887 -66.978
12.181 -68.26
16.044 -80.457
13.865 -67.174
16.102 -80.524
16.014 -79.957
15.569 -76.371
12.183 -68.293
16.154 -80.511
17.736 -75.658
17.687 -75.685
12.932 -71.169
12.018 -68.163
